,Source,Start_Lat,Start_Lng,Distance(mi),Side,City,State,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Severity_of_accidents,year_recorded,month_recorded,day_recorded,diff_hours,diff_minutes
268699,MapQuest,32.705456,-96.932877,0.01,R,Dallas,TX,US/Central,KRBD,21.9,9.8,75.0,30.44,10.0,North,12.7,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,1,6,0.49666666666666665,29.8
3066395,Bing,34.038994,-118.439912,0.0,R,Los Angeles,CA,US/Pacific,KSMO,66.0,66.0,78.0,29.78,10.0,WSW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,10,4,0.9080555555555555,54.483333333333334
2427948,MapQuest-Bing,36.125015000000005,-86.752136,0.0,L,Nashville,TN,US/Central,KBNA,78.1,,79.0,29.96,10.0,North,6.9,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2017,8,7,0.7463888888888889,44.78333333333333
1280823,MapQuest,34.968616,-82.00601999999999,0.0,R,Spartanburg,SC,US/Eastern,KSPA,57.2,,38.0,30.25,10.0,Calm,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Night,1,2019,3,12,1.543611111111111,92.61666666666666
371657,MapQuest,40.737133,-73.671173,0.01,L,New Hyde Park,NY,US/Eastern,KJFK,48.9,,93.0,29.9,3.0,South,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2017,2,23,0.49694444444444447,29.816666666666666
2753002,Bing,29.67669,-95.38158,0.0,R,Houston,TX,US/Central,KMCJ,66.0,66.0,78.0,30.07,10.0,ENE,7.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,5,7,1.0,60.0
2227938,MapQuest,32.43047,-93.828911,2.28999996185,R,Shreveport,LA,US/Central,KSHV,66.9,,93.0,29.9,10.0,SSE,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,11,1,1.491111111111111,89.46666666666667
1467116,MapQuest,26.713896000000002,-80.065811,0.0,L,West Palm Beach,FL,US/Eastern,KPBI,61.0,,75.0,30.16,10.0,NW,9.2,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2018,12,17,0.7386111111111111,44.31666666666667
2134989,MapQuest,43.219978000000005,-77.967003,0.0,L,Brockport,NY,US/Eastern,KROC,24.1,15.2,84.0,30.39,5.0,SW,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2018,1,16,0.4905555555555556,29.433333333333334
3081936,Bing,37.863935,-122.30281599999999,0.0,R,Berkeley,CA,US/Pacific,KOAK,69.0,69.0,49.0,29.96,10.0,W,16.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2019,10,17,2.214722222222222,132.88333333333333
1222388,MapQuest,40.343674,-75.951698,0.0,R,Reading,PA,US/Eastern,KRDG,74.0,74.0,34.0,29.11,10.0,WNW,23.0,Partly Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,4,9,0.7458333333333333,44.75
539146,MapQuest,33.318806,-80.547951,0.0,R,Bowman,SC,US/Eastern,KOGB,75.0,75.0,71.0,29.7,10.0,VAR,3.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,5,18,1.3311111111111111,79.86666666666666
2796308,Bing,32.92544,-96.80363,0.0,R,Dallas,TX,US/Central,KADS,79.0,79.0,78.0,29.31,10.0,SE,6.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,6,25,0.46805555555555556,28.083333333333332
2941719,Bing,34.25803,-117.168043,0.0,L,Lake Arrowhead,CA,US/Pacific,KSBD,71.0,71.0,62.0,28.77,10.0,WSW,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,4,28,0.5625,33.75
3453355,Bing,34.06483,-81.04347,3.7230000000000003,R,Columbia,SC,US/Eastern,KCUB,70.0,70.0,90.0,29.72,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2019,5,4,0.4911111111111111,29.466666666666665
3239059,Bing,46.1286,-123.9283,0.03,R,Warrenton,OR,US/Pacific,KAST,50.0,,96.0,30.37,5.0,East,4.6,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,11,14,4.0,240.0
1258137,MapQuest,35.22039,-80.82738499999999,0.0,L,Charlotte,NC,US/Eastern,KCLT,66.0,66.0,45.0,29.12,10.0,SSW,8.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,4,27,1.4980555555555555,89.88333333333334
1036705,MapQuest,30.34236,-97.715958,0.0,R,Austin,TX,US/Central,KATT,90.0,90.0,54.0,29.31,10.0,VAR,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,7,16,1.246388888888889,74.78333333333333
1633441,MapQuest,32.408665,-80.733475,0.0,R,Beaufort,SC,US/Eastern,KNBC,82.0,,88.0,30.16,10.0,NE,8.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,9,6,0.9952777777777778,59.71666666666667
336444,MapQuest,38.658169,-120.969086,0.01,L,Cameron Park,CA,US/Pacific,KPVF,51.8,,67.0,30.15,10.0,East,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,True,Night,1,2017,2,14,0.4886111111111111,29.316666666666666
2975444,Bing,33.480459,-117.140446,0.0,R,Temecula,CA,US/Pacific,KF70,59.0,59.0,59.0,28.54,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,1,24,3.930277777777778,235.81666666666666
3091196,Bing,41.19845,-112.02581,0.021,R,Roy,UT,US/Mountain,KOGD,47.0,45.0,29.0,25.84,10.0,WNW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,10,24,0.9833333333333333,59.0
3172073,Bing,33.25975,-84.10206,0.0,R,Jackson,GA,US/Eastern,K6A2,42.8,,81.0,30.24,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,3,29,0.45861111111111114,27.516666666666666
2280308,MapQuest,44.930347,-93.349884,0.0,R,Minneapolis,MN,US/Central,KMSP,46.0,39.3,29.0,30.06,10.0,South,16.1,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2017,11,29,0.49444444444444446,29.666666666666668
2700580,Bing,40.87182,-74.11662,0.46,R,Passaic,NJ,US/Eastern,KTEB,73.9,,46.0,30.2,10.0,South,6.9,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,7,5,6.0,360.0
3507404,Bing,38.831237,-111.135626,2.195,R,Ferron,UT,US/Mountain,KPUC,86.0,86.0,24.0,24.19,10.0,S,8.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,8,10,1.9833333333333334,119.0
2006296,MapQuest,32.192409999999995,-110.956207,0.0,R,Tucson,AZ,US/Mountain,KTUS,79.0,,22.0,29.88,10.0,SSW,4.6,Clear,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2018,3,12,0.49583333333333335,29.75
767156,MapQuest,32.499702,-93.752502,0.0,R,Shreveport,LA,US/Central,KDTN,61.0,61.0,60.0,30.04,10.0,CALM,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Day,2,2019,12,7,1.3252777777777778,79.51666666666667
2096254,MapQuest,26.667741999999997,-81.88073,0.0,R,North Fort Myers,FL,US/Eastern,KFMY,77.0,,71.0,30.35,10.0,ESE,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,2,23,0.4961111111111111,29.766666666666666
613589,MapQuest,39.811626000000004,-111.50558500000001,0.0,R,Fairview,UT,US/Mountain,KPUC,57.0,57.0,26.0,24.05,10.0,SSW,13.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,4,6,1.1525,69.15
2460353,MapQuest,38.819813,-104.822609,0.0,R,Colorado Springs,CO,US/Mountain,KCOS,73.0,,59.0,30.15,10.0,SSE,19.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,8,22,0.4872222222222222,29.233333333333334
3417388,Bing,35.929257,-78.683865,0.804,R,Raleigh,NC,US/Eastern,KRDU,64.0,,84.0,30.07,10.0,NE,12.7,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,9,11,6.0,360.0
502951,MapQuest,42.533913,-83.11621099999999,0.0,R,Madison Heights,MI,US/Eastern,KVLL,81.7,,49.0,30.08,10.0,South,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,7,26,0.49583333333333335,29.75
147214,MapQuest,33.813305,-84.366318,0.01,R,Atlanta,GA,US/Eastern,KPDK,48.0,,89.0,30.12,2.5,NNE,4.6,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,Day,2,2016,12,13,0.9897222222222222,59.38333333333333
1178820,MapQuest,44.948822,-92.93433399999999,2.45000004768,R,Lake Elmo,MN,US/Central,K21D,36.0,32.0,93.0,29.08,10.0,WSW,5.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,5,20,0.9894444444444445,59.36666666666667
3055620,Bing,40.392987,-122.285123,0.0,R,Cottonwood,CA,US/Pacific,KRDD,36.0,36.0,82.0,29.76,10.0,NW,3.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Night,1,2019,12,17,0.5461111111111111,32.766666666666666
3227762,Bing,40.914629999999995,-111.89147,0.413,R,Centerville,UT,US/Mountain,KSLC,32.0,24.2,79.0,30.08,10.0,NNW,9.2,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,12,26,1.5666666666666667,94.0
3023607,Bing,37.566281,-122.041265,0.0,R,Fremont,CA,US/Pacific,KHWD,53.0,53.0,69.0,29.8,10.0,WSW,6.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2019,12,23,0.8986111111111111,53.916666666666664
3039841,Bing,38.479714,-122.733741,0.0,R,Santa Rosa,CA,US/Pacific,KSTS,57.0,57.0,89.0,29.77,2.0,S,7.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,6,0.5247222222222222,31.483333333333334
993832,MapQuest,34.145142,-80.754272,0.0,R,Elgin,SC,US/Eastern,KCDN,73.0,73.0,94.0,29.74,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,8,22,0.9952777777777778,59.71666666666667
2734908,Bing,39.74009,-105.12831000000001,0.0,R,Denver,CO,US/Mountain,KBJC,82.0,82.0,16.0,24.48,10.0,NE,3.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2020,6,2,0.25,15.0
538979,MapQuest,33.758621000000005,-84.37915,1.05999994278,R,Atlanta,GA,US/Eastern,KFTY,64.0,64.0,94.0,28.97,1.0,CALM,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2020,5,18,0.9958333333333333,59.75
1762859,MapQuest,36.105305,-86.76355699999999,0.0,L,Nashville,TN,US/Central,KBNA,81.0,,74.0,30.06,10.0,Calm,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2018,7,10,0.7455555555555555,44.733333333333334
3191647,Bing,44.01145,-121.32151,0.26,L,Bend,OR,US/Pacific,KBDN,10.4,,92.0,29.93,3.0,Calm,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,2,26,4.0,240.0
773997,MapQuest,43.177132,-83.814087,0.0,L,Clio,MI,US/Eastern,KFNT,21.0,9.0,74.0,29.35,3.0,SW,13.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,12,11,0.9930555555555556,59.583333333333336
815144,MapQuest,32.895164,-96.881393,0.0,R,Dallas,TX,US/Central,KDAL,60.0,60.0,25.0,29.71,10.0,N,12.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,Night,1,2019,10,11,0.7452777777777778,44.71666666666667
1757811,MapQuest,31.607129999999998,-84.175797,0.0,R,Albany,GA,US/Eastern,KABY,86.0,,65.0,30.06,10.0,Calm,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,7,7,3.745277777777778,224.71666666666667
813884,MapQuest,41.470692,-81.81572,3.72000002861,R,Lakewood,OH,US/Eastern,KCLE,79.0,79.0,44.0,29.12,10.0,S,15.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,10,11,1.4713888888888889,88.28333333333333
2538034,Bing,29.983829999999998,-81.71844300000001,0.002,L,Green Cove Springs,FL,US/Eastern,KNIP,73.9,,45.0,30.16,10.0,East,8.1,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2016,11,18,6.0,360.0
3409798,Bing,34.024387,-117.77238799999999,0.369,R,Pomona,CA,US/Pacific,KPOC,59.0,,100.0,29.94,3.0,Calm,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,10,19,6.0,360.0
1933285,MapQuest,34.42775,-81.885437,0.0,L,Clinton,SC,US/Eastern,KLUX,51.8,,33.0,30.25,10.0,ESE,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,4,5,0.9963888888888889,59.78333333333333
973374,MapQuest-Bing,33.831534999999995,-118.25579099999999,0.0,R,Carson,CA,US/Pacific,KTOA,72.0,72.0,69.0,29.88,10.0,E,7.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,9,11,1.243611111111111,74.61666666666666
3187879,Bing,42.177,-121.76258,0.25,L,Klamath Falls,OR,US/Pacific,KLMT,33.1,24.9,59.0,29.82,10.0,WNW,10.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,2,20,4.0,240.0
3301276,Bing,34.837709999999994,-82.28967,0.262,R,Greenville,SC,US/Eastern,KGMU,82.9,,63.0,29.94,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,7,25,0.49166666666666664,29.5
2908615,Bing,40.27468,-74.04415,0.0,R,Eatontown,NJ,US/Eastern,KBLM,53.0,53.0,30.0,29.75,10.0,WSW,16.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,4,11,0.5,30.0
2638287,Bing,33.89313,-84.46173,0.524,R,Atlanta,GA,US/Eastern,KMGE,53.6,,88.0,29.98,10.0,Calm,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,2,18,6.0,360.0
2458891,MapQuest,35.786217,-78.809898,0.0,R,Cary,NC,US/Eastern,KRDU,93.9,,46.0,30.05,10.0,SW,10.4,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2017,8,22,0.9888888888888889,59.333333333333336
2877953,Bing,41.544940000000004,-83.04799999999999,1.227,R,Port Clinton,OH,US/Eastern,KPCW,41.0,35.0,93.0,29.32,2.0,ENE,10.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,3,27,2.1666666666666665,130.0
266494,MapQuest,32.885582,-96.700478,0.01,R,Dallas,TX,US/Central,KDAL,51.1,,92.0,30.02,0.8,West,3.5,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2016,12,23,1.2408333333333332,74.45
3197190,Bing,39.9363,-74.96822,0.331,R,Mount Laurel,NJ,US/Eastern,KVAY,39.9,31.8,51.0,29.71,10.0,NW,15.0,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,Night,1,2019,1,9,0.49527777777777776,29.716666666666665
962640,MapQuest,36.30703,-82.339058,1.61000001431,L,Johnson City,TN,US/Eastern,KTRI,65.0,65.0,84.0,28.37,10.0,WNW,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,9,6,0.7311111111111112,43.86666666666667
372425,MapQuest,40.89093,-73.974365,0.01,R,Englewood,NJ,US/Eastern,KTEB,60.8,,88.0,29.7,3.0,South,6.9,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,3,1,0.4975,29.85
2896622,Bing,37.680059,-121.049393,0.0,R,Modesto,CA,US/Pacific,KMOD,46.0,41.0,87.0,29.67,10.0,E,10.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,4,6,4.995277777777778,299.71666666666664
403480,MapQuest,34.068493,-117.97396100000002,0.01,R,Baldwin Park,CA,US/Pacific,KEMT,80.6,,16.0,30.0,10.0,SW,6.9,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,4,11,0.5394444444444444,32.36666666666667
3406338,Bing,26.12789,-80.16954,0.759,R,Fort Lauderdale,FL,US/Eastern,KFXE,79.0,,74.0,29.96,10.0,ENE,9.2,Clear,False,False,False,False,True,False,False,False,False,False,False,False,Day,1,2017,10,11,6.0,360.0
2252001,MapQuest,33.924923,-117.42400400000001,0.0,R,Riverside,CA,US/Pacific,KRAL,66.9,,49.0,29.98,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,11,14,0.49583333333333335,29.75
2415501,MapQuest,33.420605,-82.06774899999999,0.0,L,Augusta,GA,US/Eastern,KAGS,86.0,,46.0,30.09,10.0,ENE,8.1,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,8,1,0.49666666666666665,29.8
1398206,MapQuest,34.628223,-86.900772,0.0,R,Tanner,AL,US/Central,KDCU,42.1,40.2,67.0,30.26,10.0,NE,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2019,1,11,0.49444444444444446,29.666666666666668
1032834,MapQuest,36.191734000000004,-86.777664,0.0,R,Nashville,TN,US/Central,KBNA,86.0,86.0,53.0,29.5,10.0,SE,5.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,7,14,1.741111111111111,104.46666666666667
1767435,MapQuest,33.638706,-112.35942800000001,0.0,R,Surprise,AZ,US/Mountain,KLUF,98.8,,32.0,29.81,10.0,South,10.4,Clear,False,False,True,False,False,False,False,False,False,False,False,True,Day,1,2018,7,12,0.4955555555555556,29.733333333333334
2811838,Bing,37.772948,-122.40655,0.0,R,San Francisco,CA,US/Pacific,KSFO,67.0,67.0,39.0,30.15,10.0,W,25.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2020,6,8,3.8894444444444445,233.36666666666667
2284641,MapQuest,36.15237,-86.768997,0.0,L,Nashville,TN,US/Central,KBNA,64.9,,58.0,30.27,10.0,ESE,8.1,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2017,10,2,0.49472222222222223,29.683333333333334
298090,MapQuest,29.727736,-95.571655,0.0,R,Houston,TX,US/Central,KMCJ,89.6,,49.0,29.82,10.0,North,6.9,Clear,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2016,8,31,0.5,30.0
2089413,MapQuest,32.767254,-96.892578,0.0,R,Dallas,TX,US/Central,KRBD,50.0,,96.0,29.93,9.0,NNW,26.5,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,2,20,0.5,30.0
674375,MapQuest,35.849506,-78.643913,0.0,R,Raleigh,NC,US/Eastern,KRDU,31.0,24.0,76.0,29.9,10.0,NE,7.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,Day,1,2020,1,23,1.2747222222222223,76.48333333333333
499632,MapQuest,33.721989,-81.567627,0.0,R,Aiken,SC,US/Eastern,KAIK,78.8,,74.0,30.18,10.0,SSE,4.6,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2017,7,13,0.49277777777777776,29.566666666666666
874593,MapQuest,40.561878,-111.977066,0.0,R,South Jordan,UT,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2019,11,8,0.49166666666666664,29.5
1133934,MapQuest,38.51078,-121.36267099999999,0.0,L,Sacramento,CA,US/Pacific,KMHR,73.0,73.0,47.0,29.84,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,6,23,0.7436111111111111,44.61666666666667
876308,MapQuest,42.137985,-87.7882,0.0,R,Glencoe,IL,US/Central,KPWK,41.0,41.0,65.0,29.22,10.0,W,3.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Night,2,2019,11,10,2.306388888888889,138.38333333333333
3036426,Bing,38.680779,-121.032275,0.0,L,El Dorado Hills,CA,US/Pacific,KMHR,54.0,54.0,94.0,29.75,6.0,N,6.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,4,0.8577777777777778,51.46666666666667
1881246,MapQuest,34.133003,-80.974236,0.0,L,Columbia,SC,US/Eastern,KCUB,82.9,,39.0,30.1,10.0,SW,9.2,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,5,10,0.9972222222222222,59.833333333333336
624785,MapQuest,39.759232,-104.77271999999999,0.0,R,Aurora,CO,US/Mountain,KBKF,54.0,54.0,19.0,24.34,10.0,CALM,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2020,4,17,0.49833333333333335,29.9
872586,MapQuest,43.143269000000004,-77.592079,0.0,L,Rochester,NY,US/Eastern,KROC,22.0,14.0,78.0,29.68,10.0,SW,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2019,11,8,0.9886111111111111,59.31666666666667
3235904,Bing,42.521417,-71.642812,0.475,R,Lancaster,MA,US/Eastern,KFIT,33.1,,85.0,30.39,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,11,9,0.48944444444444446,29.366666666666667
2499738,Bing,29.59696,-95.39777,0.27699999999999997,R,Houston,TX,US/Central,KMCJ,73.4,,73.0,29.95,10.0,SE,11.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2016,11,22,6.0,360.0
272493,MapQuest,32.723273999999996,-96.827286,0.0,L,Dallas,TX,US/Central,KRBD,46.9,,63.0,29.99,10.0,NW,6.9,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,1,23,0.49583333333333335,29.75
782560,MapQuest,34.067265,-81.14218100000001,0.0,R,Columbia,SC,US/Eastern,KCAE,58.0,58.0,62.0,29.39,10.0,WSW,20.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,12,14,0.49333333333333335,29.6
1269413,MapQuest,43.061134,-76.562225,23.559999465900002,R,Weedsport,NY,US/Eastern,KFZY,17.1,2.5,43.0,30.12,10.0,NNW,15.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2019,3,6,0.49444444444444446,29.666666666666668
1694238,MapQuest,35.088863,-81.099899,0.0,L,York,SC,US/Eastern,KUZA,86.0,,70.0,30.14,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2018,8,6,0.4961111111111111,29.766666666666666
3021110,Bing,45.57271,-93.21,0.0,R,Cambridge,MN,US/Central,KCBG,30.0,20.0,60.0,28.96,10.0,W,14.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2020,1,5,1.2169444444444444,73.01666666666667
3222886,Bing,42.39222,-87.9259,2.609,L,Gurnee,IL,US/Central,KUGN,34.0,28.8,64.0,30.1,10.0,West,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,2,2018,12,17,0.49472222222222223,29.683333333333334
223661,MapQuest,40.02404,-82.99479699999999,0.01,R,Columbus,OH,US/Eastern,KCMH,34.0,23.8,92.0,29.7,5.0,WSW,16.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2017,1,26,0.49444444444444446,29.666666666666668
3140831,Bing,34.067432000000004,-117.58375600000001,0.0,R,Ontario,CA,US/Pacific,KONT,90.0,90.0,33.0,28.89,10.0,W,6.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,8,31,0.4638888888888889,27.833333333333332
1915950,MapQuest,33.995148,-118.144722,0.0,R,Los Angeles,CA,US/Pacific,KCQT,69.1,,57.0,29.99,,North,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,2,2018,5,26,0.6391666666666667,38.35
